Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Years of Experience,Candidate Type,Degree,School,Major,Degree,School,Major,Degree,School,Major,Degree,School,Major
13640,System Engineer,Engineering,Phone Screen,9/16/18,Career Fair,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,
1999334,Sr. Business Analyst,IT,New Application,6/3/16,Agency,10,Experienced,Masters,Georgia Tech,Computer Science,Bachelors,University of Washington,Statistics,Bachelors,University of Washington,Computer Science,,,
2680541,System Engineer,Engineering,New Application,11/26/18,Website,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,
185175,System Engineer,Engineering,New Application,2/19/16,Advertisement,0,Campus,Bachelors,NYU,Physics,,,,,,,,,
112967,Associate Relationship Manager,Sales,In-House Interview,1/19/18,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
1567572,Associate Relationship Manager,Sales,New Application,9/17/17,Campus Job Board,0,Campus,Bachelors,Columbia,Economics,,,,,,,,,
1785651,Associate Product Manager,Product,New Application,11/14/16,Campus Job Board,1,Campus,Masters,UC Berkeley,Statistics,Bachelors,University of Washington,English,Bachelors,University of Washington,Mathematics,,,
1089266,Associate Relationship Manager,Sales,New Application,12/28/17,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Sociology,,,,,,,,,
351821,Sr. Software Engineer,Engineering,In-house Interview,7/14/16,Outsourced,11,Experienced,Bachelors,NYU,Mathematics,,,,,,,,,
4881642,Account Executive,Sales,In-House Interview,4/17/17,Website,6,Experienced,Bachelors,NYU,English,,,,,,,,,
2323734,IT Analyst,IT,New Application,11/26/18,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
2254731,System Engineer,Engineering,New Application,12/14/16,Campus Job Board,2,Campus,Masters,University of Texas,Computer Science,Bachelors,University of Texas,Economics,Bachelors,University of Texas,Statistics,,,
158426,System Engineer,Engineering,New Application,10/2/16,Advertisement,0,Campus,Bachelors,University of Washington,Mathematics,,,,,,,,,
6273857,System Engineer,Engineering,Phone Screen,11/10/16,Campus Job Board,1,Campus,Bachelors,Harvard,Mathematics,PhD,MIT,Computer Science,,,,,,
3139836,Sr. Business Analyst,IT,In-House Interview,10/10/16,Career Fair,11,Experienced,Bachelors,University of Michigan,Computer Science,,,,,,,,,
146616,Associate Relationship Manager,Sales,New Application,9/30/17,Campus Job Board,0,Campus,Masters,Columbia,Sociology,Bachelors,Harvard,Sociology,,,,,,
1738292,Financial Analyst,Finance,New Application,10/21/18,Advertisement,0,Campus,Bachelors,University of Michigan,Management,,,,,,,,,
3289506,Business Operations Manager,Operations,New Application,10/27/18,Career Fair,4,Experienced,Bachelors,NYU,Political Science,,,,,,,,,
2109962,IT Analyst,IT,New Application,11/5/18,Campus Job Board,1,Campus,Bachelors,MIT,Computer Science,Masters,Harvard,Physics,Masters,MIT,Computer Science,,,
2458491,Associate Relationship Manager,Sales,New Application,12/24/17,Career Fair,0,Campus,Bachelors,Harvard,Sociology,,,,,,,,,
737457,Sr. Software Engineer,Engineering,Phone Screen,5/22/18,Agency,6,Experienced,Bachelors,Harvard,Mathematics,,,,,,,,,
23171,System Engineer,Engineering,Phone Screen,11/15/17,Career Fair,0,Campus,Bachelors,Vanderbilt,Statistics,,,,,,,,,
4697952,Associate Relationship Manager,Sales,New Application,2/16/18,Campus Job Board,0,Campus,Bachelors,NYU,Political Science,,,,,,,,,
8793,System Engineer,Engineering,New Application,10/28/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,
2701016,Account Executive,Sales,New Application,11/5/18,Agency,7,Experienced,Bachelors,University of Michigan,Economics,,,,,,,,,
3181877,Associate Product Manager,Product,In-House Interview,2/5/17,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
279077,System Engineer,Engineering,New Application,10/21/17,Campus Event,2,Campus,Bachelors,Georgia Tech,Statistics,PhD,Vanderbilt,Statistics,,,,,,
5065781,System Engineer,Engineering,New Application,11/8/16,Campus Job Board,0,Campus,Bachelors,Harvard,English,,,,,,,,,
5529821,System Engineer,Engineering,New Application,9/15/16,Career Fair,2,Campus,Masters,Harvard,Statistics,Bachelors,NYU,Computer Science,Bachelors,NYU,Computer Science,,,
6172431,Associate Product Manager,Product,Phone Screen,1/25/16,Campus Job Board,0,Campus,Bachelors,University of Michigan,Economics,,,,,,,,,
6077852,Financial Analyst,Finance,New Application,12/17/18,Website,0,Campus,Bachelors,NYU,Political Science,,,,,,,,,
6223074,Associate Relationship Manager,Sales,Phone Screen,10/26/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Economics,,,,,,,,,
3206,System Engineer,Engineering,Offer Sent,9/17/17,Career Fair,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
6470,Operations Coordinator,Operations,New Application,11/13/18,Career Fair,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,
4604456,Associate Relationship Manager,Sales,New Application,2/7/18,Campus Job Board,0,Campus,Masters,NYU,Classics,Bachelors,University of Washington,Classics,,,,,,
3051762,Associate Product Manager,Product,New Application,10/23/16,Campus Job Board,2,Campus,Bachelors,University of Washington,Economics,Bachelors,University of Texas,Statistics,,,,,,
699734,Associate Product Manager,Product,New Application,3/17/18,Campus Job Board,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,
1758246,System Engineer,Engineering,New Application,10/15/17,Campus Job Board,0,Campus,Bachelors,Harvard,English,,,,,,,,,
2676002,Associate Relationship Manager,Sales,New Application,8/27/18,Campus Event,0,Campus,Bachelors,NYU,Economics,,,,,,,,,
2258882,Financial Analyst,Finance,New Application,11/2/16,Career Fair,0,Campus,Bachelors,Columbia,Mathematics,,,,,,,,,
5031186,Sr. Business Analyst,IT,New Application,5/1/16,Career Fair,10,Experienced,Bachelors,NYU,Computer Science,,,,,,,,,
4740491,Associate Relationship Manager,Sales,New Application,1/5/16,Campus Event,0,Campus,PhD,Harvard,Mathematics,Bachelors,NYU,Physics,,,,,,
1097711,Sr. Customer Service Operations Associate,Operations,New Application,10/6/17,Website,8,Experienced,Bachelors,Harvard,Sociology,,,,,,,,,
1265006,Associate Product Manager,Product,New Application,8/21/18,Campus Event,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
6183411,Associate Product Manager,Product,Phone Screen,12/12/18,Campus Job Board,0,Campus,Bachelors,Columbia,Computer Science,PhD,Harvard,Computer Science,,,,,,
6282177,Associate Relationship Manager,Sales,Phone Screen,11/12/16,Campus Job Board,0,Campus,Bachelors,Columbia,English,Bachelors,NYU,Psychology,,,,,,
6090587,Finance Manager,Finance,Phone Screen,9/8/18,Career Fair,4,Experienced,Masters,MIT,Mathematics,Bachelors,UC Berkeley,English,Bachelors,UC Berkeley,English,,,
6137099,Operations Coordinator,Operations,New Application,9/29/16,Campus Job Board,0,Campus,Bachelors,NYU,English,Masters,Columbia,Computer Science,PhD,UC Berkeley,Computer Science,,,
2438997,System Engineer,Engineering,New Application,11/19/16,Campus Job Board,1,Campus,PhD,NYU,Computer Science,Bachelors,Harvard,English,,,,,,
588561,Associate Relationship Manager,Sales,New Application,9/3/18,Campus Job Board,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
944709,System Engineer,Engineering,In-House Interview,10/18/16,Career Fair,2,Campus,PhD,Harvard,Mathematics,Masters,UC Berkeley,Statistics,Bachelors,MIT,Computer Science,,,
4550609,Operations Generalist,Operations,New Application,10/8/17,Career Fair,1,Campus,Bachelors,Georgia Tech,Mathematics,PhD,University of Texas,Mathematics,,,,,,
6213381,System Engineer,Engineering,Phone Screen,9/6/18,Career Fair,0,Campus,Masters,NYU,Physics,Bachelors,Columbia,Statistics,Bachelors,Columbia,Mathematics,,,
3249242,System Engineer,Engineering,New Application,10/8/18,Campus Event,0,Campus,PhD,Harvard,Mathematics,Masters,Columbia,Statistics,Bachelors,University of Texas,Statistics,,,
2180697,Operations Generalist,Operations,New Application,8/21/18,Campus Event,0,Campus,Bachelors,NYU,Political Science,,,,,,,,,
6272592,System Engineer,Engineering,Phone Screen,3/3/18,Advertisement,2,Campus,PhD,MIT,Statistics,Bachelors,Harvard,Mathematics,,,,,,
1985726,System Engineer,Engineering,New Application,1/8/17,Advertisement,0,Campus,Bachelors,University of Texas,English,,,,,,,,,
6276399,Associate Product Manager,Product,New Application,2/26/16,Advertisement,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
486206,Sr. Business Analyst,IT,New Application,7/25/18,Advertisement,7,Experienced,Bachelors,Harvard,Computer Science,Bachelors,NYU,Statistics,,,,,,
2765,Associate Relationship Manager,Sales,Offer Sent,10/20/16,Website,0,Campus,Bachelors,Harvard,Classics,,,,,,,,,
6079982,Account Executive,Sales,Phone Screen,10/26/18,Website,3,Experienced,Bachelors,MIT,Computer Science,,,,,,,,,
3066351,Associate Product Manager,Product,In-House Interview,9/2/17,Campus Event,3,Campus,PhD,Harvard,Computer Science,Bachelors,Georgia Tech,Statistics,,,,,,
103421,Associate Relationship Manager,Sales,New Application,1/8/18,Campus Job Board,0,Campus,Bachelors,Harvard,Economics,,,,,,,,,
79101,System Engineer,Engineering,New Application,9/6/17,Career Fair,0,Campus,Bachelors,Vanderbilt,Statistics,,,,,,,,,
3858126,Associate Relationship Manager,Sales,In-House Interview,12/7/17,Campus Job Board,0,Campus,Bachelors,University of Michigan,Mathematics,Bachelors,Columbia,Mathematics,,,,,,
257246,Associate Product Manager,Product,New Application,8/14/18,Campus Job Board,0,Campus,Bachelors,UC Berkeley,Computer Science,,,,,,,,,
6075611,Associate Relationship Manager,Sales,Phone Screen,1/3/17,Campus Job Board,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,
13790,Financial Analyst,Finance,New Application,8/12/18,Career Fair,0,Campus,Bachelors,University of Texas,Physics,,,,,,,,,
4780167,System Engineer,Engineering,In-House Interview,9/21/16,Website,0,Campus,Bachelors,University of Texas,Statistics,PhD,NYU,Computer Science,,,,,,
2541692,Associate Relationship Manager,Sales,New Application,10/19/16,Campus Job Board,0,Campus,Bachelors,University of Texas,Political Science,,,,,,,,,
4704017,System Engineer,Engineering,New Application,11/3/17,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
996072,Associate Product Manager,Product,New Application,10/9/18,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
735206,Associate Product Manager,Product,New Application,1/11/16,Campus Job Board,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
989402,Operations Coordinator,Operations,New Application,10/21/16,Campus Job Board,1,Campus,Masters,University of Texas,Sociology,Bachelors,Georgia Tech,Statistics,,,,,,
5493642,Operations Coordinator,Operations,New Application,9/14/16,Campus Event,1,Campus,Bachelors,MIT,Mathematics,PhD,Harvard,Computer Science,,,,,,
5935776,System Engineer,Engineering,In-House Interview,10/25/18,Career Fair,0,Campus,Bachelors,MIT,Statistics,,,,,,,,,
534941,IT Analyst,IT,New Application,9/28/17,Campus Job Board,1,Campus,Bachelors,Georgia Tech,Computer Science,PhD,University of Texas,Statistics,,,,,,
2563827,System Engineer,Engineering,In-House Interview,8/9/18,Career Fair,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
3363137,System Engineer,Engineering,New Application,10/26/17,Campus Job Board,0,Campus,Bachelors,University of Michigan,Physics,,,,,,,,,
104391,System Engineer,Engineering,New Application,1/16/16,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Computer Science,,,,,,,,,
221918,System Engineer,Engineering,Phone Screen,10/29/17,Campus Job Board,0,Campus,Bachelors,Harvard,Economics,,,,,,,,,
2776784,Associate Product Manager,Product,New Application,9/15/16,Campus Job Board,0,Campus,Bachelors,University of Washington,Management,,,,,,,,,
800927,Sr. Customer Service Operations Associate,Operations,New Application,5/17/18,Website,5,Experienced,Masters,Columbia,Political Science,Bachelors,Harvard,Political Science,Bachelors,Harvard,Business,,,
6199952,System Engineer,Engineering,Phone Screen,11/5/18,Campus Event,1,Campus,Bachelors,Georgia Tech,Statistics,PhD,Georgia Tech,Computer Science,,,,,,
6081711,System Engineer,Engineering,Phone Screen,9/6/16,Campus Job Board,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
6106092,Sr. Business Analyst,IT,Phone Screen,5/12/16,Internal Referral,8,Experienced,Bachelors,Harvard,Statistics,,,,,,,,,
6090401,Associate Relationship Manager,Sales,Phone Screen,8/30/18,Website,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
6320652,Associate Relationship Manager,Sales,Phone Screen,2/28/18,Website,0,Campus,Bachelors,MIT,English,Bachelors,Columbia,Psychology,,,,,,
137672,IT Analyst,IT,New Application,8/24/17,Campus Job Board,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
364682,Financial Analyst,Finance,New Application,10/30/18,Advertisement,0,Campus,Masters,NYU,Political Science,Bachelors,NYU,Statistics,Bachelors,NYU,Business,,,
395186,IT Analyst,IT,New Application,9/9/18,Website,0,Campus,Bachelors,University of Texas,Computer Science,,,,,,,,,
159236,Operations Generalist,Operations,New Application,1/25/18,Campus Job Board,1,Campus,Masters,University of Texas,Economics,Bachelors,MIT,Physics,Bachelors,MIT,Economics,,,
2991362,System Engineer,Engineering,In-House Interview,8/6/18,Campus Event,3,Campus,PhD,NYU,Statistics,Masters,Georgia Tech,Statistics,Bachelors,NYU,Computer Science,,,
215057,System Engineer,Engineering,New Application,11/20/17,Campus Job Board,0,Campus,Bachelors,University of Washington,Statistics,,,,,,,,,
3335109,Associate Relationship Manager,Sales,New Application,10/16/18,Website,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
3350382,Associate Relationship Manager,Sales,New Application,11/20/16,Campus Job Board,2,Campus,PhD,University of Texas,Computer Science,Bachelors,Columbia,Computer Science,,,,,,
2572709,System Engineer,Engineering,New Application,1/9/18,Campus Job Board,1,Campus,Masters,UC Berkeley,Statistics,Bachelors,NYU,English,Bachelors,NYU,Mathematics,,,
186801,Sr. Business Analyst,IT,In-House Interview,3/24/17,Agency,15,Experienced,Bachelors,MIT,Computer Science,,,,,,,,,
2383136,Associate Relationship Manager,Sales,New Application,10/27/18,Campus Job Board,1,Campus,Masters,UC Berkeley,Statistics,Bachelors,University of Washington,Music,,,,,,
2044391,Sr. Customer Service Operations Associate,Operations,New Application,4/9/16,Agency,4,Experienced,Bachelors,MIT,Management,Bachelors,University of Texas,Economics,,,,,,
504812,Associate Relationship Manager,Sales,New Application,12/16/17,Campus Job Board,0,Campus,Bachelors,MIT,Sociology,Bachelors,University of Michigan,Management,,,,,,
5695796,System Engineer,Engineering,New Application,12/22/16,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
4318112,Operations Coordinator,Operations,New Application,11/23/18,Campus Event,0,Campus,Bachelors,Harvard,Political Science,,,,,,,,,
4437996,System Engineer,Engineering,New Application,1/8/18,Campus Job Board,2,Campus,Masters,Harvard,Mathematics,Bachelors,MIT,Physics,PhD,Harvard,English,,,
107142,Financial Analyst,Finance,New Application,2/18/16,Advertisement,2,Campus,Bachelors,Vanderbilt,Computer Science,PhD,Harvard,Mathematics,,,,,,
1110446,Sr. Product Manager,Product,In-House Interview,9/9/18,Website,8,Experienced,Bachelors,Columbia,Economics,,,,,,,,,
4225712,Finance Manager,Finance,New Application,11/15/18,Website,6,Experienced,Masters,UC Berkeley,Economics,Bachelors,MIT,Statistics,Bachelors,MIT,Political Science,,,
6208136,Associate Relationship Manager,Sales,New Application,12/16/16,Career Fair,0,Campus,Bachelors,MIT,Physics,,,,,,,,,
6190082,Business Operations Manager,Operations,Phone Screen,12/13/16,Advertisement,7,Experienced,Bachelors,Georgia Tech,Economics,,,,,,,,,
3473862,Associate Relationship Manager,Sales,New Application,8/3/18,Campus Job Board,1,Campus,Bachelors,University of Michigan,Management,Bachelors,University of Washington,Statistics,,,,,,
4953011,Business Operations Manager,Operations,New Application,11/18/18,Website,4,Experienced,Bachelors,Columbia,Economics,,,,,,,,,
69993,System Engineer,Engineering,New Application,10/28/18,Career Fair,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
199971,System Engineer,Engineering,New Application,10/19/17,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
618576,Associate Relationship Manager,Sales,New Application,9/2/18,Campus Event,0,Campus,Bachelors,Georgia Tech,Statistics,,,,,,,,,
59081,System Engineer,Engineering,Phone Screen,8/29/18,Career Fair,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
5562816,System Engineer,Engineering,In-House Interview,9/28/18,Campus Event,3,Campus,Bachelors,Columbia,Physics,PhD,MIT,Computer Science,,,,,,
265121,System Engineer,Engineering,New Application,10/17/18,Campus Job Board,3,Campus,Bachelors,Columbia,Computer Science,Masters,University of Washington,Statistics,Masters,UC Berkeley,Physics,,,
1545407,System Engineer,Engineering,New Application,8/4/18,Campus Job Board,1,Campus,PhD,Columbia,English,Masters,Harvard,English,Bachelors,MIT,Economics,Bachelors,Vanderbilt,Physics
17343,System Engineer,Engineering,New Application,12/29/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Mathematics,,,,,,,,,
69626,Operations Coordinator,Operations,New Application,2/26/17,Advertisement,0,Campus,Bachelors,University of Washington,Mathematics,,,,,,,,,
2774472,Associate Relationship Manager,Sales,New Application,1/18/16,Campus Job Board,1,Campus,Masters,Harvard,Psychology,Bachelors,MIT,Psychology,,,,,,
903701,Operations Coordinator,Operations,New Application,10/21/18,Campus Event,0,Campus,Masters,MIT,Political Science,Bachelors,University of Texas,Statistics,,,,,,
430601,Associate Relationship Manager,Sales,New Application,1/6/18,Campus Job Board,0,Campus,Bachelors,MIT,English,Masters,Columbia,Physics,Masters,University of Michigan,Statistics,,,
584627,Associate Relationship Manager,Sales,New Application,10/4/18,Campus Event,0,Campus,Bachelors,Harvard,Management,,,,,,,,,
6084371,Financial Analyst,Finance,New Application,3/15/16,Campus Job Board,0,Campus,Bachelors,University of Michigan,Sociology,,,,,,,,,
4476359,System Engineer,Engineering,New Application,2/8/17,Career Fair,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
6290007,System Engineer,Engineering,Phone Screen,11/2/16,Career Fair,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
455336,Financial Analyst,Finance,New Application,11/2/18,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Political Science,,,,,,,,,
2823234,Associate Product Manager,Product,New Application,2/12/16,Campus Job Board,0,Campus,Bachelors,University of Texas,Mathematics,Bachelors,Georgia Tech,Mathematics,,,,,,
6103331,System Engineer,Engineering,Phone Screen,12/24/18,Career Fair,0,Campus,Bachelors,Harvard,Mathematics,Masters,Harvard,Computer Science,Masters,University of Washington,Computer Science,,,
26118,System Engineer,Engineering,New Application,10/28/18,Career Fair,0,Campus,Bachelors,UC Berkeley,Economics,,,,,,,,,
2300612,Sr. Product Manager,Product,New Application,8/14/17,Website,5,Experienced,PhD,MIT,Mathematics,Bachelors,Columbia,English,,,,,,
2468,Operations Coordinator,Operations,New Application,11/1/18,Campus Job Board,2,Campus,PhD,University of Texas,Statistics,Bachelors,Columbia,Mathematics,,,,,,
126176,Associate Relationship Manager,Sales,New Application,10/20/18,Campus Job Board,0,Campus,Bachelors,University of Texas,Economics,Bachelors,University of Michigan,Statistics,,,,,,
2454152,Sr. Product Manager,Product,New Application,1/24/17,Agency,8,Experienced,Bachelors,Harvard,Management,Bachelors,Columbia,Statistics,,,,,,
3743907,Operations Coordinator,Operations,New Application,9/20/16,Campus Event,0,Campus,Bachelors,NYU,Economics,PhD,Columbia,Physics,,,,,,
2095962,Sr. Product Manager,Product,New Application,6/1/16,Website,11,Experienced,Bachelors,University of Washington,Economics,,,,,,,,,
100368,System Engineer,Engineering,New Application,10/9/18,Career Fair,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,
6077382,Business Operations Manager,Operations,Phone Screen,5/1/16,Agency,7,Experienced,Masters,MIT,Business,Bachelors,University of Texas,Economics,,,,,,
25901,System Engineer,Engineering,New Application,2/26/17,Advertisement,0,Campus,Bachelors,MIT,Statistics,,,,,,,,,
365406,Associate Relationship Manager,Sales,New Application,9/22/17,Campus Job Board,1,Campus,Bachelors,NYU,Computer Science,Masters,NYU,Computer Science,Masters,University of Washington,Statistics,,,
1275702,Associate Relationship Manager,Sales,New Application,8/4/18,Campus Job Board,1,Campus,Bachelors,Vanderbilt,Mathematics,Bachelors,Harvard,Economics,,,,,,
103452,Associate Product Manager,Product,New Application,12/27/17,Campus Job Board,0,Campus,Bachelors,University of Michigan,Statistics,Bachelors,NYU,Computer Science,,,,,,
1345632,System Engineer,Engineering,New Application,12/22/16,Campus Event,1,Campus,Bachelors,Columbia,Statistics,PhD,NYU,Physics,,,,,,
224234,System Engineer,Engineering,New Application,11/20/16,Advertisement,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
3059052,System Engineer,Engineering,New Application,9/9/18,Career Fair,3,Campus,PhD,Harvard,Economics,Masters,Columbia,Computer Science,Masters,MIT,Statistics,Bachelors,Columbia,Computer Science
27218,Operations Generalist,Operations,New Application,10/9/16,Campus Job Board,0,Campus,Bachelors,University of Texas,Mathematics,,,,,,,,,
225243,Associate Product Manager,Product,New Application,10/28/18,Career Fair,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,
178811,Associate Relationship Manager,Sales,New Application,3/10/18,Campus Job Board,0,Campus,Bachelors,University of Michigan,Economics,,,,,,,,,
6090774,Associate Product Manager,Product,Phone Screen,9/4/16,Advertisement,2,Campus,PhD,MIT,Computer Science,Bachelors,Georgia Tech,English,,,,,,
1680932,Associate Relationship Manager,Sales,In-House Interview,1/21/18,Campus Job Board,0,Campus,Masters,Vanderbilt,Economics,Bachelors,Harvard,Political Science,Bachelors,Harvard,Economics,,,
3453122,Associate Relationship Manager,Sales,New Application,11/26/17,Campus Job Board,1,Campus,Masters,University of Washington,Statistics,Bachelors,Harvard,Psychology,,,,,,
6208656,Sr. Business Analyst,IT,Phone Screen,5/28/16,Internal Referral,12,Experienced,Masters,University of Washington,Statistics,Bachelors,University of Texas,Business,Bachelors,University of Texas,Mathematics,,,
2327951,System Engineer,Engineering,New Application,9/4/18,Career Fair,0,Campus,Bachelors,Georgia Tech,Statistics,,,,,,,,,
29261,Operations Coordinator,Operations,New Application,9/2/16,Career Fair,0,Campus,Bachelors,Georgia Tech,Economics,,,,,,,,,
139271,Associate Relationship Manager,Sales,New Application,1/25/18,Campus Job Board,1,Campus,Bachelors,Columbia,Mathematics,Bachelors,University of Michigan,Sociology,,,,,,
2273442,Associate Relationship Manager,Sales,New Application,2/28/16,Advertisement,0,Campus,Bachelors,Georgia Tech,Statistics,,,,,,,,,
203084,Associate Relationship Manager,Sales,New Application,12/6/18,Campus Job Board,0,Campus,Bachelors,NYU,Sociology,,,,,,,,,
86720,System Engineer,Engineering,New Application,9/22/18,Career Fair,0,Campus,Bachelors,UC Berkeley,Computer Science,,,,,,,,,
3586436,Sr. Customer Service Operations Associate,Operations,New Application,4/11/16,Outsourced,11,Experienced,Masters,Columbia,Business,Bachelors,NYU,Economics,,,,,,
5736002,Business Operations Manager,Operations,New Application,5/12/16,Agency,8,Experienced,Bachelors,NYU,Statistics,,,,,,,,,
3746606,System Engineer,Engineering,New Application,12/2/16,Career Fair,3,Campus,Bachelors,NYU,Physics,Masters,Harvard,Mathematics,Masters,Columbia,Computer Science,,,
3039632,Operations Coordinator,Operations,New Application,12/23/16,Campus Job Board,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,
5285546,System Engineer,Engineering,New Application,11/7/16,Website,2,Campus,PhD,NYU,Computer Science,Masters,Harvard,Mathematics,Bachelors,MIT,Statistics,,,
123459,Associate Relationship Manager,Sales,New Application,10/2/17,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
2182736,Sr. Product Manager,Product,Phone Screen,6/23/18,Internal Referral,5,Experienced,Bachelors,Harvard,Political Science,,,,,,,,,
6303377,Finance Manager,Finance,Phone Screen,2/17/18,Website,7,Experienced,Bachelors,NYU,Business,PhD,NYU,Political Science,,,,,,
3224207,Sr. Software Engineer,Engineering,New Application,4/6/18,Agency,6,Experienced,Bachelors,Harvard,Computer Science,,,,,,,,,
2423891,System Engineer,Engineering,New Application,9/21/18,Campus Job Board,0,Campus,Bachelors,University of Texas,Statistics,Bachelors,University of Washington,Physics,Bachelors,University of Washington,Economics,,,
6216041,Operations Generalist,Operations,New Application,9/28/16,Website,0,Campus,Bachelors,University of Washington,Economics,,,,,,,,,
3811682,Operations Coordinator,Operations,New Application,11/20/17,Website,2,Campus,Bachelors,UC Berkeley,Statistics,PhD,Georgia Tech,Computer Science,,,,,,
1339334,System Engineer,Engineering,In-House Interview,9/3/16,Career Fair,1,Campus,PhD,Columbia,Computer Science,Bachelors,Vanderbilt,Economics,,,,,,
77156,System Engineer,Engineering,New Application,3/3/16,Website,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
366131,System Engineer,Engineering,New Application,10/29/16,Website,0,Campus,PhD,Columbia,English,Bachelors,Harvard,Computer Science,,,,,,
522026,Associate Relationship Manager,Sales,New Application,12/22/18,Campus Job Board,0,Campus,Bachelors,NYU,Psychology,,,,,,,,,
872376,Finance Manager,Finance,New Application,4/23/16,Website,5,Experienced,Bachelors,University of Michigan,Sociology,,,,,,,,,
883581,Account Executive,Sales,New Application,1/30/17,Advertisement,7,Experienced,Bachelors,Harvard,English,,,,,,,,,
4417409,System Engineer,Engineering,New Application,10/17/17,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Statistics,,,,,,,,,
488837,Associate Relationship Manager,Sales,New Application,1/3/17,Campus Job Board,0,Campus,Masters,MIT,Computer Science,Bachelors,Columbia,Computer Science,,,,,,
6377006,System Engineer,Engineering,Phone Screen,3/19/17,Campus Job Board,0,Campus,PhD,Columbia,Computer Science,Masters,UC Berkeley,Economics,Bachelors,MIT,Statistics,,,
294227,IT Analyst,IT,New Application,1/18/16,Website,0,Campus,Bachelors,UC Berkeley,Economics,,,,,,,,,
34343,System Engineer,Engineering,New Application,3/8/16,Advertisement,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,
6351827,System Engineer,Engineering,New Application,11/14/18,Campus Event,2,Campus,PhD,UC Berkeley,Mathematics,Masters,Harvard,Computer Science,Bachelors,University of Texas,Computer Science,,,
246336,Business Operations Manager,Operations,New Application,5/29/17,Agency,7,Experienced,Bachelors,Vanderbilt,English,Bachelors,Harvard,English,,,,,,
39593,System Engineer,Engineering,New Application,8/2/18,Career Fair,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
6077949,Associate Relationship Manager,Sales,Phone Screen,9/30/16,Campus Job Board,1,Campus,Bachelors,University of Texas,Computer Science,Bachelors,Vanderbilt,English,,,,,,
5595911,Associate Relationship Manager,Sales,New Application,1/22/18,Campus Job Board,2,Campus,Masters,UC Berkeley,Mathematics,Bachelors,NYU,Political Science,Bachelors,NYU,Economics,,,
6080099,Finance Manager,Finance,Phone Screen,6/28/17,Website,4,Experienced,Bachelors,UC Berkeley,English,,,,,,,,,
6222527,Account Executive,Sales,New Application,8/6/17,Website,7,Experienced,PhD,Columbia,Management,Bachelors,NYU,Business,,,,,,
5533116,UX Designer,Product,New Application,3/24/16,Career Fair,8,Experienced,Bachelors,UC Berkeley,Economics,,,,,,,,,
176492,Associate Product Manager,Product,New Application,11/15/18,Advertisement,0,Campus,Bachelors,Vanderbilt,Mathematics,,,,,,,,,
389859,Finance Manager,Finance,New Application,3/1/18,Agency,7,Experienced,Bachelors,NYU,Business,,,,,,,,,
